HEDGE_ESTIMATOR,ADAPTIVE_START_DAY,POSITION_SIZE,OPTIMIZATION_TARGET,STATIC_PARAMS.HEDGE_ESTIMATOR,STATIC_PARAMS.ZSCORE_LOOKBACK,STATIC_PARAMS.ENTRY_THRESHOLD,STATIC_PARAMS.STOP_LOSS_THRESHOLD,STATIC_PARAMS.POSITION_SIZE,STATIC_PARAMS.ADAPTIVE_START_DAY,ADAPTIVE_PARAMS.HEDGE_ESTIMATOR,ADAPTIVE_PARAMS.ZSCORE_LOOKBACK,ADAPTIVE_PARAMS.ENTRY_THRESHOLD,ADAPTIVE_PARAMS.STOP_LOSS_THRESHOLD,ADAPTIVE_PARAMS.POSITION_SIZE,ADAPTIVE_PARAMS.ADAPTIVE_START_DAY,score
ridge,501,10000,STATIC,ridge,100,1.0,3.5,10000,501,ridge,100,1.0,3.5,10000,501,25.612081360928933
ridge,501,10000,STATIC,ridge,100,1.0,4.0,10000,501,ridge,100,1.0,4.0,10000,501,25.612081360928933
ridge,501,10000,STATIC,ridge,100,1.75,3.5,10000,501,ridge,100,1.75,3.5,10000,501,25.583931845667195
ridge,501,10000,STATIC,ridge,100,1.75,4.0,10000,501,ridge,100,1.75,4.0,10000,501,25.583931845667195
ridge,501,10000,STATIC,ridge,130,0.75,2.5,10000,501,ridge,130,0.75,2.5,10000,501,25.55822497247093
bayesian,501,10000,STATIC,bayesian,120,1.75,2.0,10000,501,bayesian,120,1.75,2.0,10000,501,25.555287891245733
ols,501,10000,STATIC,ols,130,0.75,2.5,10000,501,ols,130,0.75,2.5,10000,501,25.55507983081103
lasso,501,10000,STATIC,lasso,80,1.5,4.0,10000,501,lasso,80,1.5,4.0,10000,501,25.554405650822908
ols,501,10000,STATIC,ols,100,1.0,4.0,10000,501,ols,100,1.0,4.0,10000,501,25.552774398082825
ols,501,10000,STATIC,ols,100,1.0,3.5,10000,501,ols,100,1.0,3.5,10000,501,25.552774398082825
ols,501,10000,STATIC,ols,120,1.75,2.0,10000,501,ols,120,1.75,2.0,10000,501,25.545870261459665
lasso,501,10000,STATIC,lasso,120,1.75,2.5,10000,501,lasso,120,1.75,2.5,10000,501,25.528851631117732
ols,501,10000,STATIC,ols,100,1.75,4.0,10000,501,ols,100,1.75,4.0,10000,501,25.527096706055588
ols,501,10000,STATIC,ols,100,1.75,3.5,10000,501,ols,100,1.75,3.5,10000,501,25.527096706055588
bayesian,501,10000,STATIC,bayesian,130,0.75,2.5,10000,501,bayesian,130,0.75,2.5,10000,501,25.51374234626889
ridge,501,10000,STATIC,ridge,150,1.25,2.5,10000,501,ridge,150,1.25,2.5,10000,501,25.499127276503614
ridge,501,10000,STATIC,ridge,140,0.75,2.0,10000,501,ridge,140,0.75,2.0,10000,501,25.471823487598215
bayesian,501,10000,STATIC,bayesian,100,0.75,3.5,10000,501,bayesian,100,0.75,3.5,10000,501,25.46465776121594
bayesian,501,10000,STATIC,bayesian,100,0.75,4.0,10000,501,bayesian,100,0.75,4.0,10000,501,25.46465776121594
ols,501,10000,STATIC,ols,150,1.25,2.5,10000,501,ols,150,1.25,2.5,10000,501,25.45499435768575
bayesian,501,10000,STATIC,bayesian,150,1.0,2.5,10000,501,bayesian,150,1.0,2.5,10000,501,25.442530002497264
bayesian,501,10000,STATIC,bayesian,80,0.5,4.0,10000,501,bayesian,80,0.5,4.0,10000,501,25.437843516454706
lasso,501,10000,STATIC,lasso,80,0.25,3.5,10000,501,lasso,80,0.25,3.5,10000,501,25.43238129619249
bayesian,501,10000,STATIC,bayesian,80,1.25,4.0,10000,501,bayesian,80,1.25,4.0,10000,501,25.426055995984058
lasso,501,10000,STATIC,lasso,150,2.25,2.5,10000,501,lasso,150,2.25,2.5,10000,501,25.412800080824216
bayesian,501,10000,STATIC,bayesian,140,0.5,2.5,10000,501,bayesian,140,0.5,2.5,10000,501,25.398729806108307
bayesian,501,10000,STATIC,bayesian,130,1.75,2.0,10000,501,bayesian,130,1.75,2.0,10000,501,25.39299512819308
ols,501,10000,STATIC,ols,120,1.25,3.0,10000,501,ols,120,1.25,3.0,10000,501,25.38754566539715
ols,501,10000,STATIC,ols,80,1.25,3.5,10000,501,ols,80,1.25,3.5,10000,501,25.375172346838482
ridge,501,10000,STATIC,ridge,80,1.25,3.5,10000,501,ridge,80,1.25,3.5,10000,501,25.374405413474584
ols,501,10000,STATIC,ols,70,1.75,3.0,10000,501,ols,70,1.75,3.0,10000,501,25.367043743526402
lasso,501,10000,STATIC,lasso,70,1.75,3.5,10000,501,lasso,70,1.75,3.5,10000,501,25.326598270166244
bayesian,501,10000,STATIC,bayesian,70,1.75,4.0,10000,501,bayesian,70,1.75,4.0,10000,501,25.317243961826442
ols,501,10000,STATIC,ols,90,1.0,2.5,10000,501,ols,90,1.0,2.5,10000,501,25.314309786002887
ridge,501,10000,STATIC,ridge,110,0.5,3.5,10000,501,ridge,110,0.5,3.5,10000,501,25.24058674657637
ridge,501,10000,STATIC,ridge,110,0.5,4.0,10000,501,ridge,110,0.5,4.0,10000,501,25.24058674657637
ols,501,10000,STATIC,ols,110,0.5,4.0,10000,501,ols,110,0.5,4.0,10000,501,25.239822281496956
ols,501,10000,STATIC,ols,110,0.5,3.5,10000,501,ols,110,0.5,3.5,10000,501,25.239822281496956
bayesian,501,10000,STATIC,bayesian,90,0.25,3.5,10000,501,bayesian,90,0.25,3.5,10000,501,25.219773250706083
bayesian,501,10000,STATIC,bayesian,90,0.25,4.0,10000,501,bayesian,90,0.25,4.0,10000,501,25.219773250706083
lasso,501,10000,STATIC,lasso,80,2.0,3.0,10000,501,lasso,80,2.0,3.0,10000,501,25.19079865917325
bayesian,501,10000,STATIC,bayesian,140,0.25,3.0,10000,501,bayesian,140,0.25,3.0,10000,501,25.18797280430268
lasso,501,10000,STATIC,lasso,80,1.5,3.5,10000,501,lasso,80,1.5,3.5,10000,501,25.166810000920783
ridge,501,10000,STATIC,ridge,120,1.25,3.0,10000,501,ridge,120,1.25,3.0,10000,501,25.137853724128526
bayesian,501,10000,STATIC,bayesian,90,1.5,3.0,10000,501,bayesian,90,1.5,3.0,10000,501,25.125220047933468
ols,501,10000,STATIC,ols,80,1.75,4.0,10000,501,ols,80,1.75,4.0,10000,501,25.079893061876767
ols,501,10000,STATIC,ols,90,1.5,3.0,10000,501,ols,90,1.5,3.0,10000,501,25.0788955968685
ridge,501,10000,STATIC,ridge,80,1.75,4.0,10000,501,ridge,80,1.75,4.0,10000,501,25.07887382776964
ridge,501,10000,STATIC,ridge,90,1.5,3.0,10000,501,ridge,90,1.5,3.0,10000,501,25.077974395478876
bayesian,501,10000,STATIC,bayesian,140,2.0,2.5,10000,501,bayesian,140,2.0,2.5,10000,501,25.071415275584148
bayesian,501,10000,STATIC,bayesian,150,1.25,2.5,10000,501,bayesian,150,1.25,2.5,10000,501,25.070005163248325
bayesian,501,10000,STATIC,bayesian,80,0.5,3.5,10000,501,bayesian,80,0.5,3.5,10000,501,25.04010156492214
bayesian,501,10000,STATIC,bayesian,80,1.25,3.5,10000,501,bayesian,80,1.25,3.5,10000,501,25.036002872512803
ridge,501,10000,STATIC,ridge,70,1.75,3.0,10000,501,ridge,70,1.75,3.0,10000,501,25.035178031138983
bayesian,501,10000,STATIC,bayesian,80,0.75,2.5,10000,501,bayesian,80,0.75,2.5,10000,501,25.02157807039992
lasso,501,10000,STATIC,lasso,110,1.5,3.0,10000,501,lasso,110,1.5,3.0,10000,501,25.006150831035583
lasso,501,10000,STATIC,lasso,80,0.5,4.0,10000,501,lasso,80,0.5,4.0,10000,501,24.968331990638248
bayesian,501,10000,STATIC,bayesian,130,0.25,4.0,10000,501,bayesian,130,0.25,4.0,10000,501,24.769711516759138
ridge,501,10000,STATIC,ridge,100,0.5,3.0,10000,501,ridge,100,0.5,3.0,10000,501,24.76041230838814
bayesian,501,10000,STATIC,bayesian,150,0.25,2.5,10000,501,bayesian,150,0.25,2.5,10000,501,24.75920751753206
