ADAPTIVE_START_DAY,ZSCORE_LOOKBACK,ENTRY_THRESHOLD,STOP_LOSS_THRESHOLD,POSITION_SIZE,score
501,130,1.3000000000000003,3.0,10000,30.371055887558626
501,130,1.1,3.75,10000,30.280742022941205
501,130,1.1,4.0,10000,30.280742022941205
501,130,1.0,3.25,10000,30.269132612691614
501,130,0.8,2.5,10000,30.25888044672626
501,70,2.0,3.5,10000,30.254559852580467
501,130,0.7000000000000001,2.5,10000,30.21216239746262
501,130,1.7000000000000002,2.25,10000,30.127192301426955
501,130,0.4,3.0,10000,30.125352552514798
501,130,1.2000000000000002,3.5,10000,30.055992152922812
501,130,0.9,2.5,10000,30.0376603813867
501,130,1.9000000000000001,2.25,10000,29.96908127637039
501,130,1.0,3.0,10000,29.960993358687894
501,130,1.1,3.5,10000,29.8855908002878
501,130,2.4000000000000004,3.75,10000,29.687327318646204
501,130,2.4000000000000004,4.0,10000,29.687327318646204
501,130,1.6,2.25,10000,29.60845700403847
501,130,1.3000000000000003,2.75,10000,29.539926387645508
501,70,1.9000000000000001,3.0,10000,29.49270508155401
501,100,0.2,2.75,10000,29.463398623730278
501,100,1.5000000000000002,3.0,10000,29.437814861029203
501,130,2.4000000000000004,3.5,10000,29.26657247526857
501,130,0.2,3.75,10000,29.219562888321633
501,130,0.2,4.0,10000,29.219562888321633
501,100,1.7000000000000002,3.75,10000,29.16147327010388
501,100,1.7000000000000002,3.5,10000,29.16147327010388
501,100,1.7000000000000002,4.0,10000,29.16147327010388
501,70,2.0,3.0,10000,29.11851029360555
501,130,0.4,2.75,10000,29.07742612054836
501,130,0.5,2.5,10000,28.965086737210292
501,130,1.0,2.75,10000,28.944894700491318
501,130,0.2,3.5,10000,28.829390005754867
501,100,1.4000000000000001,3.0,10000,28.802246979585327
501,100,1.7000000000000002,3.25,10000,28.779145462066513
501,100,2.1,3.0,10000,28.74674566340326
501,100,1.3000000000000003,3.75,10000,28.608353233022328
501,100,1.3000000000000003,4.0,10000,28.608353233022328
501,100,1.3000000000000003,3.5,10000,28.608353233022328
501,130,0.6,2.5,10000,28.57570642672217
501,100,1.6,3.0,10000,28.573911634645
501,100,0.2,2.5,10000,28.493992066640388
501,100,2.0,3.0,10000,28.491653238540504
501,100,0.7000000000000001,3.5,10000,28.41731925658962
501,100,0.7000000000000001,3.75,10000,28.41731925658962
501,100,0.7000000000000001,4.0,10000,28.41731925658962
501,100,0.1,2.75,10000,28.3552792865906
501,130,0.30000000000000004,3.75,10000,28.35417855808346
501,130,0.30000000000000004,4.0,10000,28.35417855808346
501,100,1.9000000000000001,3.75,10000,28.345777550787616
501,100,1.9000000000000001,3.5,10000,28.345777550787616
501,100,1.9000000000000001,4.0,10000,28.345777550787616
501,100,0.30000000000000004,3.0,10000,28.344057186534585
501,130,1.6,2.0,10000,28.32639438058242
501,100,1.3000000000000003,3.25,10000,28.221498296366406
501,130,0.1,4.0,10000,28.16688892461392
501,130,0.1,3.75,10000,28.16688892461392
501,130,1.2000000000000002,3.25,10000,28.158147143302976
501,100,0.7000000000000001,3.25,10000,28.031335182148574
501,100,1.9000000000000001,3.25,10000,27.96469801651137
501,130,0.30000000000000004,3.5,10000,27.95858843327273
501,130,1.1,3.25,10000,27.95803789379559
501,100,0.5,4.0,10000,27.810815506773686
501,100,0.5,3.5,10000,27.810815506773686
501,100,0.5,3.75,10000,27.810815506773686
501,130,0.1,3.5,10000,27.770845827864477
501,130,1.2000000000000002,3.0,10000,27.742629042514352
501,70,1.8000000000000003,3.25,10000,27.71153204460412
501,130,1.1,3.0,10000,27.593142284342463
501,70,1.8000000000000003,4.0,10000,27.558177144888248
501,70,1.8000000000000003,3.75,10000,27.558177144888248
501,130,2.3000000000000003,2.75,10000,27.430978411741982
501,130,2.4000000000000004,3.25,10000,27.417565701530506
501,100,0.5,3.25,10000,27.407274627986155
501,100,0.1,2.5,10000,27.385753362410725
501,70,2.1,3.25,10000,27.294052472609184
501,70,2.1,4.0,10000,27.146030439829673
501,70,2.1,3.75,10000,27.146030439829673
501,70,1.8000000000000003,3.5,10000,27.104651502215873
501,100,0.4,2.75,10000,27.08507137951687
501,130,1.2000000000000002,2.75,10000,26.93917975795175
501,100,1.7000000000000002,3.0,10000,26.878536187251978
501,130,1.1,2.75,10000,26.815601803851884
501,130,0.2,3.25,10000,26.773204926543414
501,70,2.1,3.5,10000,26.621751436797652
501,100,0.6,3.75,10000,26.606010450127357
501,100,0.6,4.0,10000,26.606010450127357
501,100,0.6,3.5,10000,26.606010450127357
501,130,1.5000000000000002,2.25,10000,26.60558703193454
501,100,1.0,4.0,10000,26.48433682261775
501,100,1.0,3.75,10000,26.48433682261775
501,100,1.0,3.5,10000,26.48433682261775
501,130,0.2,3.0,10000,26.47473161041195
501,100,1.2000000000000002,3.5,10000,26.29748598158818
501,100,1.2000000000000002,4.0,10000,26.29748598158818
501,100,1.2000000000000002,3.75,10000,26.29748598158818
501,100,1.9000000000000001,3.0,10000,26.284161493133613
501,100,0.6,3.25,10000,26.197275933146372
501,100,1.0,3.25,10000,26.099717927112067
501,70,1.8000000000000003,3.0,10000,26.063447609311908
501,100,0.4,2.5,10000,26.00613282453466
501,100,1.3000000000000003,3.0,10000,25.98503809832968
501,100,1.2000000000000002,3.25,10000,25.925703433989312
