ZSCORE_LOOKBACK,ENTRY_THRESHOLD,STOP_LOSS_THRESHOLD,score
80,1.5,2.5,24.879182003264127
140,2.5,3.0,24.465665247249202
50,0.75,3.5,24.46130257617653
50,0.75,4.0,24.46130257617653
130,2.5,4.0,24.052101049136056
130,2.5,3.5,24.052101049136056
90,2.5,3.0,23.685515945717167
80,2.5,3.5,23.647399048548444
80,2.5,4.0,23.647399048548444
130,2.5,3.0,23.257855829753204
150,2.5,2.5,22.91648964289248
70,2.25,3.5,22.766425241742027
70,2.25,4.0,22.766425241742027
50,0.75,3.0,22.613393118701445
60,0.75,2.5,21.774760664478542
150,2.25,2.5,21.61294560062632
80,2.5,3.0,21.477369062691764
70,2.25,3.0,21.24920120946189
60,0.5,2.5,20.861449867728517
80,2.25,3.5,20.741234956273736
80,2.25,4.0,20.741234956273736
60,2.0,3.5,20.06304965235176
60,2.0,4.0,20.06304965235176
110,2.75,4.0,19.964120451592407
110,2.75,3.5,19.964120451592407
60,1.5,2.5,19.82544176847769
60,2.0,3.0,19.80993233361106
110,2.75,3.0,19.690362447325324
110,2.5,2.5,19.643016445993794
50,1.75,3.5,18.642186917513072
50,1.75,4.0,18.642186917513072
70,2.25,2.5,18.55760942395656
70,2.0,2.5,18.44874920094881
90,2.75,3.5,18.23244716541686
90,2.75,4.0,18.23244716541686
50,0.5,3.5,18.16618970697887
50,0.5,4.0,18.16618970697887
80,2.25,3.0,18.138141437780316
70,2.5,3.5,18.037610237467405
70,2.5,4.0,18.037610237467405
150,2.75,3.5,17.872612233319433
150,2.75,4.0,17.872612233319433
60,0.25,4.0,17.769470598709027
60,0.25,3.5,17.769470598709027
150,2.75,3.0,17.694649004232716
50,0.75,2.5,17.567580261628144
60,2.0,2.5,17.437022033132287
60,0.25,3.0,17.42903257197802
50,1.75,3.0,16.776769601890177
100,2.75,3.5,16.699766886846152
100,2.75,4.0,16.699766886846152
70,2.5,3.0,16.361595751620804
50,0.5,3.0,16.320371556012866
70,2.75,3.5,15.680953513767829
70,2.75,4.0,15.680953513767829
50,1.0,4.0,15.322812583312349
50,1.0,3.5,15.322812583312349
40,1.5,3.0,15.286123307445138
100,2.75,3.0,14.856209783833165
40,1.5,3.5,14.45606738401915
40,1.5,4.0,14.45606738401915
90,2.5,2.5,14.440065499416711
70,2.75,3.0,14.341249571131684
80,2.75,4.0,14.189797491233659
80,2.75,3.5,14.189797491233659
90,2.75,3.0,13.833781244137857
30,2.5,4.0,13.811730138775875
30,2.5,3.5,13.811730138775875
120,2.75,3.5,13.725566472389353
120,2.75,4.0,13.725566472389353
50,1.0,3.0,13.45211325571151
120,2.75,3.0,13.290592389158011
30,2.5,3.0,13.015549547852157
50,2.0,3.5,12.845728157326526
50,2.0,4.0,12.845728157326526
40,1.75,3.0,12.676702134676432
60,0.25,2.5,12.39953753964776
40,1.75,4.0,11.876072327385941
40,1.75,3.5,11.876072327385941
50,0.5,2.5,11.360260324992431
50,1.5,4.0,11.204671669588308
50,1.5,3.5,11.204671669588308
50,2.0,3.0,10.98721710802402
60,2.25,4.0,10.481431724141192
60,2.25,3.5,10.481431724141192
