ADAPTIVE_START_DAY,POSITION_SIZE,STATIC_PARAMS.ZSCORE_LOOKBACK,STATIC_PARAMS.ENTRY_THRESHOLD,STATIC_PARAMS.STOP_LOSS_THRESHOLD,ADAPTIVE_PARAMS.ZSCORE_LOOKBACK,ADAPTIVE_PARAMS.ENTRY_THRESHOLD,ADAPTIVE_PARAMS.STOP_LOSS_THRESHOLD,score
501,10000,120,1.0,2.5,120,1.5,4.0,39.16028593439745
501,10000,120,1.0,2.5,120,1.5,3.5,39.16028593439745
601,10000,120,1.0,3.5,90,1.0,3.0,39.15259826421564
401,10000,120,1.0,3.5,120,1.0,4.0,39.14919524821888
401,10000,120,1.0,3.5,120,1.0,3.5,39.14919524821888
301,10000,120,2.0,4.0,90,1.0,4.0,39.137127975739546
301,10000,120,2.0,4.0,90,1.0,3.5,39.137127975739546
601,10000,120,2.0,3.0,120,1.5,4.0,39.11766216988558
601,10000,120,2.0,3.0,120,1.5,3.5,39.11766216988558
401,10000,120,1.5,3.5,120,1.0,3.0,39.09244303758275
501,10000,120,2.0,4.0,90,1.0,4.0,39.084620631952816
501,10000,120,2.0,4.0,90,1.0,3.5,39.084620631952816
601,10000,120,2.0,4.0,120,1.0,3.5,39.05854091868043
601,10000,120,2.0,4.0,120,1.0,4.0,39.05854091868043
601,10000,120,2.0,4.0,120,1.5,2.5,39.04496490147146
501,10000,120,1.5,3.0,120,1.0,3.0,39.03525531950731
601,10000,120,1.0,3.0,120,1.5,3.5,39.01078257003148
601,10000,120,1.0,3.0,120,1.5,4.0,39.01078257003148
601,10000,120,1.5,3.0,90,1.0,3.5,38.986076528391145
601,10000,120,1.5,3.0,90,1.0,4.0,38.986076528391145
501,10000,90,1.5,4.0,120,1.0,3.5,38.97518805310385
501,10000,90,1.5,3.5,120,1.0,4.0,38.97518805310385
501,10000,90,1.5,3.5,120,1.0,3.5,38.97518805310385
501,10000,90,1.5,4.0,120,1.0,4.0,38.97518805310385
401,10000,120,1.0,4.0,120,1.0,3.0,38.97016157593386
601,10000,120,2.0,3.0,120,1.5,3.0,38.96773837575209
601,10000,120,2.0,4.0,120,1.0,3.0,38.96761394019721
501,10000,120,1.0,3.5,120,1.0,2.5,38.941739999953064
501,10000,90,1.5,3.0,120,1.5,4.0,38.934168501720386
501,10000,90,1.5,3.0,120,1.5,3.5,38.934168501720386
601,10000,120,2.0,3.5,120,1.0,3.5,38.92789173007944
601,10000,120,2.0,3.5,120,1.0,4.0,38.92789173007944
601,10000,120,2.0,3.5,120,1.5,2.5,38.91578390981428
601,10000,120,1.0,4.0,120,1.0,3.5,38.91549037770379
601,10000,120,1.0,4.0,120,1.0,4.0,38.91549037770379
301,10000,120,2.0,2.5,120,1.5,3.5,38.90738095730927
301,10000,120,2.0,2.5,120,1.5,4.0,38.90738095730927
501,10000,90,1.0,3.0,120,1.0,3.0,38.8941627845441
301,10000,120,2.0,3.5,90,1.0,4.0,38.89166713074818
301,10000,120,2.0,3.5,90,1.0,3.5,38.89166713074818
401,10000,120,2.0,4.0,120,1.0,2.5,38.88979705844432
401,10000,120,1.0,3.0,120,1.0,4.0,38.87965697608256
401,10000,120,1.0,3.0,120,1.0,3.5,38.87965697608256
601,10000,120,1.0,3.0,120,1.5,3.0,38.85897045068487
501,10000,120,2.0,3.5,90,1.0,4.0,38.84104971269356
501,10000,120,2.0,3.5,90,1.0,3.5,38.84104971269356
601,10000,120,2.0,3.5,120,1.0,3.0,38.8369790240928
601,10000,120,1.0,4.0,120,1.0,3.0,38.82357846927282
601,10000,120,1.0,3.5,120,1.0,4.0,38.79944353082985
601,10000,120,1.0,3.5,120,1.0,3.5,38.79944353082985
401,10000,90,1.0,4.0,120,1.5,4.0,38.76697702992376
401,10000,90,1.0,3.5,120,1.5,4.0,38.76697702992376
401,10000,90,1.0,3.5,120,1.5,3.5,38.76697702992376
401,10000,90,1.0,4.0,120,1.5,3.5,38.76697702992376
501,10000,120,1.0,2.5,120,1.5,3.0,38.74513563903299
401,10000,120,1.0,3.5,120,1.0,3.0,38.74080055492905
301,10000,90,1.5,3.5,120,1.5,3.0,38.73050421655065
301,10000,90,1.5,4.0,120,1.5,3.0,38.73050421655065
301,10000,120,2.0,3.0,90,1.0,4.0,38.7170761188841
301,10000,120,2.0,3.0,90,1.0,3.5,38.7170761188841
601,10000,120,1.0,3.5,120,1.0,3.0,38.707544056082504
301,10000,90,1.5,2.5,120,1.5,4.0,38.7048272740292
301,10000,90,1.5,2.5,120,1.5,3.5,38.7048272740292
401,10000,90,1.5,3.0,120,1.5,3.5,38.6877782600787
401,10000,90,1.5,3.0,120,1.5,4.0,38.6877782600787
601,10000,120,1.0,4.0,120,1.5,2.5,38.67828906431419
301,10000,90,2.0,4.0,120,1.5,3.5,38.67420184278485
301,10000,90,2.0,3.5,120,1.5,3.5,38.67420184278485
301,10000,90,2.0,3.5,120,1.5,4.0,38.67420184278485
301,10000,90,2.0,4.0,120,1.5,4.0,38.67420184278485
501,10000,90,2.0,4.0,120,1.5,3.5,38.652449403107234
501,10000,90,2.0,4.0,120,1.5,4.0,38.652449403107234
501,10000,90,2.0,3.5,120,1.5,4.0,38.652449403107234
501,10000,90,2.0,3.5,120,1.5,3.5,38.652449403107234
401,10000,120,2.0,3.5,120,1.0,2.5,38.64567190589552
